,star_rating,title,content_rating,genre,duration,actors_list
34,8.1,Harold and Maude,GP,Comedy,91,"[u'Ruth Gordon', u'Bud Cort', u'Vivian Pickles']"
35,8.1,Bringing Up Baby,APPROVED,Comedy,102,"[u'Katharine Hepburn', u'Cary Grant', u'Charles Ruggles']"
36,8.1,His Girl Friday,APPROVED,Comedy,92,"[u'Cary Grant', u'Rosalind Russell', u'Ralph Bellamy']"
37,8.1,Duck Soup,PASSED,Comedy,68,"[u'Groucho Marx', u'Harpo Marx', u'Chico Marx']"
38,8.0,The Graduate,APPROVED,Comedy,106,"[u'Dustin Hoffman', u'Anne Bancroft', u'Katharine Ross']"
39,8.0,Being There,PG,Comedy,130,"[u'Peter Sellers', u'Shirley MacLaine', u'Melvyn Douglas']"
40,8.0,This Is Spinal Tap,R,Comedy,82,"[u'Rob Reiner', u'Michael McKean', u'Christopher Guest']"
41,8.0,Crimes and Misdemeanors,PG-13,Comedy,104,"[u'Martin Landau', u'Woody Allen', u'Bill Bernstein']"
42,8.0,Charade,NOT RATED,Comedy,113,"[u'Cary Grant', u'Audrey Hepburn', u'Walter Matthau']"
43,8.0,Manhattan,R,Comedy,96,"[u'Woody Allen', u'Diane Keaton', u'Mariel Hemingway']"
44,8.0,Shaun of the Dead,R,Comedy,99,"[u'Simon Pegg', u'Nick Frost', u'Kate Ashfield']"
45,8.0,The Artist,PG-13,Comedy,100,"[u'Jean Dujardin', u'B\xe9r\xe9nice Bejo', u'John Goodman']"
46,8.0,The Lady Vanishes,PASSED,Comedy,96,"[u'Margaret Lockwood', u'Michael Redgrave', u'Paul Lukas']"
47,8.0,Amarcord,R,Comedy,123,"[u'Magali No\xebl', u'Bruno Zanin', u'Pupella Maggio']"
48,8.0,Hannah and Her Sisters,PG-13,Comedy,103,"[u'Mia Farrow', u'Dianne Wiest', u'Michael Caine']"
49,8.0,In Bruges,R,Comedy,107,"[u'Colin Farrell', u'Brendan Gleeson', u'Ciar\xe1n Hinds']"
50,7.9,Birdman: Or (The Unexpected Virtue of Ignorance),R,Comedy,119,"[u'Michael Keaton', u'Zach Galifianakis', u'Edward Norton']"
51,7.9,The Breakfast Club,R,Comedy,97,"[u'Emilio Estevez', u'Judd Nelson', u'Molly Ringwald']"
52,7.9,Do the Right Thing,R,Comedy,120,"[u'Danny Aiello', u'Ossie Davis', u'Ruby Dee']"
53,7.9,Miracle on 34th Street,APPROVED,Comedy,96,"[u'Edmund Gwenn', u""Maureen O'Hara"", u'John Payne']"
54,7.9,Hot Fuzz,R,Comedy,121,"[u'Simon Pegg', u'Nick Frost', u'Martin Freeman']"
55,7.9,Ferris Bueller's Day Off,PG-13,Comedy,103,"[u'Matthew Broderick', u'Alan Ruck', u'Mia Sara']"
56,7.9,Down by Law,R,Comedy,107,"[u'Tom Waits', u'John Lurie', u'Roberto Benigni']"
57,7.9,Clerks,R,Comedy,92,"[u""Brian O'Halloran"", u'Jeff Anderson', u'Marilyn Ghigliotti']"
58,7.9,Adam's Apples,R,Comedy,94,"[u'Ulrich Thomsen', u'Mads Mikkelsen', u'Nicolas Bro']"
59,7.8,Guess Who's Coming to Dinner,UNRATED,Comedy,108,"[u'Spencer Tracy', u'Sidney Poitier', u'Katharine Hepburn']"
60,7.8,Silver Linings Playbook,R,Comedy,122,"[u'Bradley Cooper', u'Jennifer Lawrence', u'Robert De Niro']"
61,7.8,Office Space,R,Comedy,89,"[u'Ron Livingston', u'Jennifer Aniston', u'David Herman']"
62,7.8,Withnail & I,R,Comedy,107,"[u'Richard E. Grant', u'Paul McGann', u'Richard Griffiths']"
63,7.8,Evil Dead II,X,Comedy,84,"[u'Bruce Campbell', u'Sarah Berry', u'Dan Hicks']"
64,7.8,Ghostbusters,PG,Comedy,105,"[u'Bill Murray', u'Dan Aykroyd', u'Sigourney Weaver']"
65,7.8,The Hangover,R,Comedy,100,"[u'Zach Galifianakis', u'Bradley Cooper', u'Justin Bartha']"
66,7.8,Airplane!,PG,Comedy,88,"[u'Robert Hays', u'Julie Hagerty', u'Leslie Nielsen']"
67,7.8,Night on Earth,R,Comedy,129,"[u'Winona Ryder', u'Gena Rowlands', u'Lisanne Falk']"
68,7.8,Zelig,PG,Comedy,79,"[u'Woody Allen', u'Mia Farrow', u'Patrick Horgan']"
69,7.8,(500) Days of Summer,PG-13,Comedy,95,"[u'Zooey Deschanel', u'Joseph Gordon-Levitt', u'Geoffrey Arend']"
70,7.8,Blazing Saddles,R,Comedy,93,"[u'Cleavon Little', u'Gene Wilder', u'Slim Pickens']"
71,7.8,Breakfast at Tiffany's,NOT RATED,Comedy,115,"[u'Audrey Hepburn', u'George Peppard', u'Patricia Neal']"
72,7.8,Being John Malkovich,R,Comedy,112,"[u'John Cusack', u'Cameron Diaz', u'Catherine Keener']"
73,7.8,Mary Poppins,APPROVED,Comedy,139,"[u'Julie Andrews', u'Dick Van Dyke', u'David Tomlinson']"
74,7.8,The Sandlot,PG,Comedy,101,"[u'Tom Guiry', u'Mike Vitar', u'Patrick Renna']"
75,7.8,As Good as It Gets,PG-13,Comedy,139,"[u'Jack Nicholson', u'Helen Hunt', u'Greg Kinnear']"
76,7.8,The King of Comedy,PG,Comedy,109,"[u'Robert De Niro', u'Jerry Lewis', u'Diahnne Abbott']"
77,7.8,Sabrina,UNRATED,Comedy,113,"[u'Humphrey Bogart', u'Audrey Hepburn', u'William Holden']"
78,7.8,Good Bye Lenin!,R,Comedy,121,"[u'Daniel Br\xfchl', u'Katrin Sa\xdf', u'Chulpan Khamatova']"
79,7.7,Rushmore,R,Comedy,93,"[u'Jason Schwartzman', u'Bill Murray', u'Olivia Williams']"
80,7.7,Flipped,PG,Comedy,90,"[u'Madeline Carroll', u'Callan McAuliffe', u'Rebecca De Mornay']"
81,7.7,Love Me If You Dare,R,Comedy,93,"[u'Guillaume Canet', u'Marion Cotillard', u'Thibault Verhaeghe']"
82,7.7,The Purple Rose of Cairo,PG,Comedy,82,"[u'Mia Farrow', u'Jeff Daniels', u'Danny Aiello']"
83,7.7,50/50,R,Comedy,100,"[u'Joseph Gordon-Levitt', u'Seth Rogen', u'Anna Kendrick']"
84,7.7,Delicatessen,R,Comedy,99,"[u'Marie-Laure Dougnac', u'Dominique Pinon', u'Pascal Benezech']"
85,7.7,Adaptation.,R,Comedy,114,"[u'Nicolas Cage', u'Meryl Streep', u'Chris Cooper']"
86,7.7,Fear and Loathing in Las Vegas,R,Comedy,118,"[u'Johnny Depp', u'Benicio Del Toro', u'Tobey Maguire']"
87,7.7,Short Cuts,R,Comedy,187,"[u'Andie MacDowell', u'Julianne Moore', u'Tim Robbins']"
88,7.7,A Hard Day's Night,APPROVED,Comedy,87,"[u'John Lennon', u'Paul McCartney', u'George Harrison']"
89,7.7,The Station Agent,R,Comedy,89,"[u'Peter Dinklage', u'Patricia Clarkson', u'Bobby Cannavale']"
90,7.7,Zombieland,R,Comedy,88,"[u'Jesse Eisenberg', u'Emma Stone', u'Woody Harrelson']"
91,7.7,The Dinner Game,PG-13,Comedy,80,"[u'Thierry Lhermitte', u'Jacques Villeret', u'Francis Huster']"
92,7.7,Show Me Love,UNRATED,Comedy,89,"[u'Alexandra Dahlstr\xf6m', u'Rebecka Liljeberg', u'Erica Carlson']"
93,7.7,Billy Elliot,PG-13,Comedy,110,"[u'Jamie Bell', u'Julie Walters', u'Jean Heywood']"
94,7.7,Love Actually,R,Comedy,135,"[u'Hugh Grant', u'Martine McCutcheon', u'Liam Neeson']"
95,7.7,The Producers,PG,Comedy,88,"[u'Zero Mostel', u'Gene Wilder', u'Dick Shawn']"
96,7.7,Three Colors: White,R,Comedy,91,"[u'Zbigniew Zamachowski', u'Julie Delpy', u'Janusz Gajos']"
97,7.7,Dazed and Confused,R,Comedy,102,"[u'Jason London', u'Wiley Wiggins', u'Matthew McConaughey']"
98,7.7,After Hours,R,Comedy,97,"[u'Griffin Dunne', u'Rosanna Arquette', u'Verna Bloom']"
99,7.7,Midnight in Paris,PG-13,Comedy,94,"[u'Owen Wilson', u'Rachel McAdams', u'Kathy Bates']"
100,7.7,The Muppet Christmas Carol,G,Comedy,85,"[u'Michael Caine', u'Dave Goelz', u'Steve Whitmire']"
101,7.7,MASH,R,Comedy,116,"[u'Donald Sutherland', u'Elliott Gould', u'Tom Skerritt']"
102,7.7,The Player,R,Comedy,124,"[u'Tim Robbins', u'Greta Scacchi', u'Fred Ward']"
103,7.7,Stranger Than Fiction,PG-13,Comedy,113,"[u'Will Ferrell', u'Emma Thompson', u'Dustin Hoffman']"
104,7.6,Superbad,R,Comedy,113,"[u'Michael Cera', u'Jonah Hill', u'Christopher Mintz-Plasse']"
105,7.6,The Royal Tenenbaums,R,Comedy,110,"[u'Gene Hackman', u'Gwyneth Paltrow', u'Anjelica Huston']"
106,7.6,Thank You for Smoking,R,Comedy,92,"[u'Aaron Eckhart', u'Cameron Bright', u'Maria Bello']"
107,7.6,Man Bites Dog,NC-17,Comedy,95,"[u'Beno\xeet Poelvoorde', u'Jacqueline Poelvoorde-Pappaert', u'Nelly Pappaert']"
108,7.6,When Harry Met Sally...,R,Comedy,96,"[u'Billy Crystal', u'Meg Ryan', u'Carrie Fisher']"
109,7.6,Animal House,R,Comedy,109,"[u'John Belushi', u'Karen Allen', u'Tom Hulce']"
110,7.6,The Naked Gun: From the Files of Police Squad!,PG-13,Comedy,85,"[u'Leslie Nielsen', u'Priscilla Presley', u'O.J. Simpson']"
111,7.6,The Party,PG,Comedy,99,"[u'Peter Sellers', u'Claudine Longet', u'Natalia Borisova']"
112,7.6,Army of Darkness,R,Comedy,81,"[u'Bruce Campbell', u'Embeth Davidtz', u'Marcus Gilbert']"
113,7.6,Volver,R,Comedy,121,"[u'Pen\xe9lope Cruz', u'Carmen Maura', u'Lola Due\xf1as']"
114,7.6,A Fish Called Wanda,R,Comedy,108,"[u'John Cleese', u'Jamie Lee Curtis', u'Kevin Kline']"
115,7.6,Garden State,R,Comedy,102,"[u'Zach Braff', u'Peter Sarsgaard', u'Natalie Portman']"
116,7.6,Braindead,R,Comedy,104,"[u'Timothy Balme', u'Diana Pe\xf1alver', u'Elizabeth Moody']"
117,7.6,Secondhand Lions,PG,Comedy,109,"[u'Haley Joel Osment', u'Michael Caine', u'Robert Duvall']"
118,7.6,An American Werewolf in London,R,Comedy,97,"[u'David Naughton', u'Jenny Agutter', u'Joe Belcher']"
119,7.6,Tucker and Dale vs. Evil,R,Comedy,89,"[u'Tyler Labine', u'Alan Tudyk', u'Katrina Bowden']"
120,7.6,Sideways,R,Comedy,126,"[u'Paul Giamatti', u'Thomas Haden Church', u'Virginia Madsen']"
121,7.6,High Fidelity,R,Comedy,113,"[u'John Cusack', u'Iben Hjejle', u'Todd Louiso']"
122,7.6,The Meaning of Life,R,Comedy,107,"[u'John Cleese', u'Terry Gilliam', u'Eric Idle']"
123,7.6,"Planes, Trains & Automobiles",R,Comedy,93,"[u'Steve Martin', u'John Candy', u'Laila Robins']"
124,7.6,Juno,PG-13,Comedy,96,"[u'Ellen Page', u'Michael Cera', u'Jennifer Garner']"
125,7.6,The Fisher King,R,Comedy,137,"[u'Jeff Bridges', u'Robin Williams', u'Adam Bryant']"
126,7.6,Christmas Vacation,PG-13,Comedy,97,"[u'Chevy Chase', u""Beverly D'Angelo"", u'Juliette Lewis']"
127,7.5,Bullets Over Broadway,R,Comedy,98,"[u'John Cusack', u'Dianne Wiest', u'Jennifer Tilly']"
128,7.5,American Graffiti,PG,Comedy,110,"[u'Richard Dreyfuss', u'Ron Howard', u'Paul Le Mat']"
129,7.5,Pleasantville,PG-13,Comedy,124,"[u'Tobey Maguire', u'Jeff Daniels', u'Joan Allen']"
130,7.5,Best in Show,PG-13,Comedy,90,"[u'Fred Willard', u'Eugene Levy', u""Catherine O'Hara""]"
131,7.5,Everything Is Illuminated,PG-13,Comedy,106,"[u'Elijah Wood', u'Eugene Hutz', u'Boris Leskin']"
132,7.5,Buffalo '66,R,Comedy,110,"[u'Vincent Gallo', u'Christina Ricci', u'Ben Gazzara']"
133,7.5,My Cousin Vinny,R,Comedy,120,"[u'Joe Pesci', u'Marisa Tomei', u'Ralph Macchio']"
134,7.5,"The Adventures of Priscilla, Queen of the Desert",R,Comedy,104,"[u'Hugo Weaving', u'Guy Pearce', u'Terence Stamp']"
135,7.5,In the Loop,NOT RATED,Comedy,106,"[u'Tom Hollander', u'Peter Capaldi', u'James Gandolfini']"
136,7.5,Smoke,R,Comedy,112,"[u'Harvey Keitel', u'William Hurt', u'Giancarlo Esposito']"
137,7.5,Ghost World,R,Comedy,111,"[u'Steve Buscemi', u'Thora Birch', u'Scarlett Johansson']"
138,7.5,Trading Places,R,Comedy,116,"[u'Eddie Murphy', u'Dan Aykroyd', u'Ralph Bellamy']"
139,7.5,Clerks II,R,Comedy,97,"[u""Brian O'Halloran"", u'Jeff Anderson', u'Rosario Dawson']"
140,7.5,Say Anything...,PG-13,Comedy,100,"[u'John Cusack', u'Ione Skye', u'John Mahoney']"
141,7.4,Beetlejuice,PG,Comedy,92,"[u'Alec Baldwin', u'Geena Davis', u'Michael Keaton']"
142,7.4,"Crazy, Stupid, Love.",PG-13,Comedy,118,"[u'Steve Carell', u'Ryan Gosling', u'Julianne Moore']"
143,7.4,Much Ado About Nothing,PG-13,Comedy,111,"[u'Kenneth Branagh', u'Emma Thompson', u'Keanu Reeves']"
144,7.4,Raising Arizona,PG-13,Comedy,94,"[u'Nicolas Cage', u'Holly Hunter', u'Trey Wilson']"
145,7.4,Terms of Endearment,R,Comedy,132,"[u'Shirley MacLaine', u'Debra Winger', u'Jack Nicholson']"
146,7.4,Frances Ha,R,Comedy,86,"[u'Greta Gerwig', u'Mickey Sumner', u'Adam Driver']"
147,7.4,Home Alone,PG,Comedy,103,"[u'Macaulay Culkin', u'Joe Pesci', u'Daniel Stern']"
148,7.4,Pirate Radio,R,Comedy,117,"[u'Philip Seymour Hoffman', u'Bill Nighy', u'Nick Frost']"
149,7.4,Manhattan Murder Mystery,PG,Comedy,104,"[u'Woody Allen', u'Diane Keaton', u'Jerry Adler']"
150,7.4,National Lampoon's Vacation,R,Comedy,98,"[u'Chevy Chase', u""Beverly D'Angelo"", u'Imogene Coca']"
151,7.4,Deconstructing Harry,R,Comedy,96,"[u'Woody Allen', u'Judy Davis', u'Julia Louis-Dreyfus']"
152,7.4,The Way Way Back,PG-13,Comedy,103,"[u'Steve Carell', u'Toni Collette', u'Allison Janney']"
153,7.4,Driving Miss Daisy,PG,Comedy,99,"[u'Morgan Freeman', u'Jessica Tandy', u'Dan Aykroyd']"
154,7.4,Death at a Funeral,R,Comedy,90,"[u'Matthew Macfadyen', u'Peter Dinklage', u'Ewen Bremner']"
155,7.4,Tootsie,PG,Comedy,116,"[u'Dustin Hoffman', u'Jessica Lange', u'Teri Garr']"
